      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    1:06.621    17055     N    0    1    0
    1:07.266    17220     N    0    1    0
    1:07.879    17377     N    0    1    0
    1:08.496    17535     N    0    1    0
    1:09.113    17693     N    0    1    0
    1:09.703    17844     N    0    1    0
    1:10.297    17996     N    0    1    0
    1:10.895    18149     N    0    1    0
    1:11.500    18304     N    0    1    0
    1:12.094    18456     N    0    1    0
    1:12.715    18615     N    0    1    0
    1:13.328    18772     N    0    1    0
    1:13.918    18923     N    0    1    0
    1:14.523    19078     N    0    1    0
    1:15.137    19235     N    0    1    0
    1:15.723    19385     N    0    1    0
    1:16.309    19535     N    0    1    0
    1:16.898    19686     N    0    1    0
    1:17.477    19834     N    0    1    0
    1:18.043    19979     N    0    1    0
    1:18.609    20124     N    0    1    0
    1:19.164    20266     N    0    1    0
    1:19.715    20407     N    0    1    0
    1:20.832    20693     N    0    1    0
    1:21.379    20833     N    0    1    0
    1:21.945    20978     N    0    1    0
    1:22.531    21128     N    0    1    0
    1:23.102    21274     N    0    1    0
    1:23.672    21420     N    0    1    0
    1:24.262    21571     N    0    1    0
    1:24.836    21718     N    0    1    0
    1:25.395    21861     N    0    1    0
    1:25.965    22007     N    0    1    0
    1:26.547    22156     N    0    1    0
    1:27.121    22303     N    0    1    0
    1:27.691    22449     N    0    1    0
    1:28.273    22598     N    0    1    0
    1:28.863    22749     N    0    1    0
    1:29.434    22895     N    0    1    0
    1:30.016    23044     N    0    1    0
    1:30.605    23195     N    0    1    0
    1:31.188    23344     N    0    1    0
    1:31.758    23490     N    0    1    0
    1:32.328    23636     N    0    1    0
    1:32.922    23788     N    0    1    0
    1:33.496    23935     N    0    1    0
    1:34.066    24081     N    0    1    0
    1:34.652    24231     N    0    1    0
    1:35.262    24387     N    0    1    0
    1:35.844    24536     N    0    1    0
    1:36.426    24685     N    0    1    0
    1:37.031    24840     N    0    1    0
    1:37.645    24997     N    0    1    0
    1:38.242    25150     N    0    1    0
    1:38.832    25301     N    0    1    0
    1:39.441    25457     N    0    1    0
    1:40.016    25604     N    0    1    0
    1:40.590    25751     N    0    1    0
    1:41.168    25899     N    0    1    0
    1:41.750    26048     N    0    1    0
    1:42.316    26193     N    0    1    0
    1:42.895    26341     N    0    1    0
    1:43.480    26491     N    0    1    0
    1:44.063    26640     N    0    1    0
    1:44.629    26785     N    0    1    0
    1:45.203    26932     N    0    1    0
    1:45.797    27084     N    0    1    0
    1:46.383    27234     N    0    1    0
    1:46.961    27382     N    0    1    0
    1:47.547    27532     N    0    1    0
    1:48.164    27690     N    0    1    0
    1:48.750    27840     N    0    1    0
    1:49.344    27992     N    0    1    0
    1:49.949    28147     N    0    1    0
    1:50.535    28297     N    0    1    0
    1:51.098    28441     N    0    1    0
    1:51.668    28587     N    0    1    0
    1:52.242    28734     N    0    1    0
    1:52.805    28878     N    0    1    0
    1:53.359    29020     N    0    1    0
    1:53.926    29165     N    0    1    0
    1:54.512    29315     N    0    1    0
    1:55.086    29462     N    0    1    0
    1:56.254    29761     N    0    1    0
    1:56.859    29916     N    0    1    0
    1:57.441    30065     N    0    1    0
    1:58.020    30213     N    0    1    0
    1:58.609    30364     N    0    1    0
    1:59.199    30515     N    0    1    0
    1:59.770    30661     N    0    1    0
    2:00.348    30809     N    0    1    0
    2:00.938    30960     N    0    1    0
    2:01.500    31104     N    0    1    0
    2:02.051    31245     N    0    1    0
    2:02.625    31392     N    0    1    0
    2:03.195    31538     N    0    1    0
    2:03.770    31685     N    0    1    0
    2:04.336    31830     N    0    1    0
    2:04.918    31979     N    0    1    0
    2:05.512    32131     N    0    1    0
    2:06.094    32280     N    0    1    0
    2:06.688    32432     N    0    1    0
    2:07.285    32585     N    0    1    0
    2:07.859    32732     N    0    1    0
    2:08.445    32882     N    0    1    0
    2:09.047    33036     N    0    1    0
    2:09.648    33190     N    0    1    0
    2:10.223    33337     N    0    1    0
    2:10.809    33487     N    0    1    0
    2:11.410    33641     N    0    1    0
    2:12.004    33793     N    0    1    0
    2:12.582    33941     N    0    1    0
    2:13.160    34089     N    0    1    0
    2:13.754    34241     N    0    1    0
    2:14.336    34390     N    0    1    0
    2:14.910    34537     N    0    1    0
    2:15.496    34687     N    0    1    0
    2:16.094    34840     N    0    1    0
    2:16.676    34989     N    0    1    0
    2:17.262    35139     N    0    1    0
    2:17.871    35295     N    0    1    0
    2:18.477    35450     N    0    1    0
    2:19.055    35598     N    0    1    0
    2:19.656    35752     N    0    1    0
    2:20.266    35908     N    0    1    0
    2:20.859    36060     N    0    1    0
    2:21.438    36208     N    0    1    0
    2:22.031    36360     N    0    1    0
    2:22.617    36510     N    0    1    0
    2:23.188    36656     N    0    1    0
    2:23.766    36804     N    0    1    0
    2:24.355    36955     N    0    1    0
    2:24.938    37104     N    0    1    0
    2:25.500    37248     N    0    1    0
    2:26.086    37398     N    0    1    0
    2:26.664    37546     N    0    1    0
    2:27.805    37838     N    0    1    0
    2:28.398    37990     N    0    1    0
    2:28.988    38141     N    0    1    0
    2:29.563    38288     N    0    1    0
    2:30.152    38439     N    0    1    0
    2:30.750    38592     N    0    1    0
    2:31.344    38744     N    0    1    0
    2:31.941    38897     N    0    1    0
    2:32.543    39051     N    0    1    0
    2:33.160    39209     N    0    1    0
    2:33.754    39361     N    0    1    0
    2:34.344    39512     N    0    1    0
    2:34.949    39667     N    0    1    0
    2:35.539    39818     N    0    1    0
    2:36.121    39967     N    0    1    0
    2:36.723    40121     N    0    1    0
    2:37.324    40275     N    0    1    0
    2:37.914    40426     N    0    1    0
    2:38.500    40576     N    0    1    0
    2:39.113    40733     N    0    1    0
    2:39.723    40889     N    0    1    0
    2:40.316    41041     N    0    1    0
    2:40.922    41196     N    0    1    0
    2:41.520    41349     N    0    1    0
    2:42.086    41494     N    0    1    0
    2:42.672    41644     N    0    1    0
    2:43.238    41789     N    0    1    0
    2:43.809    41935     N    0    1    0
    2:44.375    42080     N    0    1    0
    2:44.930    42222     N    0    1    0
    2:45.496    42367     N    0    1    0
    2:46.074    42515     N    0    1    0
    2:46.641    42660     N    0    1    0
    2:47.207    42805     N    0    1    0
    2:47.805    42958     N    0    1    0
    2:48.387    43107     N    0    1    0
    2:48.957    43253     N    0    1    0
    2:49.539    43402     N    0    1    0
    2:50.121    43551     N    0    1    0
    2:50.684    43695     N    0    1    0
    2:51.246    43839     N    0    1    0
    2:51.824    43987     N    0    1    0
    2:52.402    44135     N    0    1    0
    2:52.965    44279     N    0    1    0
    2:53.523    44422     N    0    1    0
    2:54.066    44561     N    0    1    0
    2:54.609    44700     N    0    1    0
    2:55.164    44842     N    0    1    0
    2:55.758    44994     N    0    1    0
    2:56.387    45155     N    0    1    0
    2:57.027    45319     N    0    1    0
    2:57.684    45487     N    0    1    0
    2:58.297    45644     N    0    1    0
    2:58.906    45800     N    0    1    0
    2:59.512    45955     N    0    1    0
    3:00.113    46109     N    0    1    0
    3:00.703    46260     N    0    1    0
    3:01.309    46415     N    0    1    0
    3:01.938    46576     N    0    1    0
    3:02.547    46732     N    0    1    0
    3:03.176    46893     N    0    1    0
    3:03.805    47054     N    0    1    0
    3:04.422    47212     N    0    1    0
    3:05.035    47369     N    0    1    0
    3:05.648    47526     N    0    1    0
    3:06.258    47682     N    0    1    0
    3:06.848    47833     N    0    1    0
    3:07.445    47986     N    0    1    0
    3:08.043    48139     N    0    1    0
    3:08.625    48288     N    0    1    0
    3:09.203    48436     N    0    1    0
    3:09.789    48586     N    0    1    0
    3:10.375    48736     N    0    1    0
    3:10.953    48884     N    0    1    0
    3:11.547    49036     N    0    1    0
    3:12.148    49190     N    0    1    0
    3:12.734    49340     N    0    1    0
    3:13.332    49493     N    0    1    0
    3:13.949    49651     N    0    1    0
    3:14.578    49812     N    0    1    0
    3:15.164    49962     N    0    1    0
    3:15.766    50116     N    0    1    0
    3:16.355    50267     N    0    1    0
    3:16.922    50412     N    0    1    0
    3:17.492    50558     N    0    1    0
    3:18.063    50704     N    0    1    0
    3:18.641    50852     N    0    1    0
    3:19.219    51000     N    0    1    0
    3:19.781    51144     N    0    1    0
    3:20.363    51293     N    0    1    0
    3:20.945    51442     N    0    1    0
    3:21.512    51587     N    0    1    0
    3:22.090    51735     N    0    1    0
    3:22.680    51886     N    0    1    0
    3:23.258    52034     N    0    1    0
    3:23.813    52176     N    0    1    0
    3:24.383    52322     N    0    1    0
    3:24.969    52472     N    0    1    0
    3:25.539    52618     N    0    1    0
    3:26.109    52764     N    0    1    0
    3:26.691    52913     N    0    1    0
    3:27.273    53062     N    0    1    0
    3:27.844    53208     N    0    1    0
    3:28.410    53353     N    0    1    0
    3:28.980    53499     N    0    1    0
    3:29.531    53640     N    0    1    0
    3:30.094    53784     N    0    1    0
    3:30.656    53928     N    0    1    0
    3:31.234    54076     N    0    1    0
    3:31.813    54224     N    0    1    0
    3:32.395    54373     N    0    1    0
    3:32.984    54524     N    0    1    0
    3:33.598    54681     N    0    1    0
    3:34.188    54832     N    0    1    0
    3:34.781    54984     N    0    1    0
    3:35.383    55138     N    0    1    0
    3:35.953    55284     N    0    1    0
    3:36.527    55431     N    0    1    0
    3:37.094    55576     N    0    1    0
    3:37.648    55718     N    0    1    0
    3:38.199    55859     N    0    1    0
    3:38.754    56001     N    0    1    0
    3:39.309    56143     N    0    1    0
    3:39.863    56285     N    0    1    0
